,,,,,,,,,,,,,,,,,,,,,,
,1.78 -0.20 ,,1.02 -0.10 ,,3.28 37.70 ,,2.50 -0.10 ,,2.08 78.80 ,,2.24 43.90 ,,0.94 0.00 ,,3,2.2,,,,,,
,1.81 -0.10 ,,1.02 0.00 ,,3.30 39.30 ,,2.52 0.10 ,,2.09 84.90 ,,2.25 47.20 ,,0.96 0.10 ,,3.02,2.6,,,,,,
,1.83 -0.30 ,,1.02 -0.30 ,,3.32 41.70 ,,2.54 0.20 ,,2.09 92.90 ,,2.27 50.40 ,,0.97 -0.20 ,,3.03,3.7,,,,,,
,1.86 -0.20 ,,1.02 -0.40 ,,3.34 43.20 ,,2.56 0.40 ,,2.10 100.30 ,,2.29 54.30 ,,0.99 -0.10 ,,3.05,4.4,,,,,,
,1.88 -0.30 ,,1.03 -0.30 ,,3.36 44.70 ,,2.57 -0.10 ,,1.02 -0.10 ,,2.30 57.30 ,,1.00 -0.20 ,,3.07,5.2,,,,,,
,1.90 -0.10 ,,1.02 0.10 ,,3.37 46.10 ,,2.59 0.10 ,,1.02 -0.10 ,,2.32 61.10 ,,1.02 0.00 ,,3.08,6.2,,,,,,
,1.93 0.00 ,,1.02 -0.50 ,,3.38 47.90 ,,2.62 0.30 ,,1.02 0.00 ,,2.33 64.10 ,,1.03 0.20 ,,3.1,7,,,,,,
,1.95 -0.30 ,,1.02 -0.10 ,,3.40 49.40 ,,2.64 0.30 ,,1.02 -0.30 ,,2.34 68.00 ,,1.04 0.30 ,,3.12,8.3,,,,,,
,1.97 -0.10 ,,1.02 -0.10 ,,3.42 51.80 ,,2.66 0.30 ,,1.02 -0.20 ,,2.36 72.30 ,,1.06 0.50 ,,3.13,9.6,,,,,,
,2.00 -0.50 ,,1.02 -0.40 ,,3.44 53.60 ,,2.68 0.40 ,,1.02 -0.10 ,,2.37 76.70 ,,1.08 0.50 ,,3.15,11.1,,,,,,
,2.02 -0.20 ,,1.02 -0.40 ,,3.46 55.60 ,,2.70 0.20 ,,1.02 -0.10 ,,2.38 81.60 ,,1.09 1.30 ,,3.17,12.3,,,,,,
,2.05 0.00 ,,1.03 0.10 ,,3.47 57.30 ,,2.71 0.70 ,,1.02 -0.10 ,,2.40 85.60 ,,1.11 1.20 ,,3.18,13.5,,,,,,
,2.07 -0.10 ,,1.02 -0.40 ,,3.49 59.30 ,,2.74 0.80 ,,1.02 -0.20 ,,2.40 91.00 ,,1.12 2.00 ,,3.2,15.3,,,,,,
,2.08 -0.10 ,,1.02 -0.10 ,,3.50 61.30 ,,2.76 0.60 ,,1.02 -0.30 ,,2.41 95.20 ,,1.14 2.60 ,,3.22,16.4,,,,,,
,2.11 0.00 ,,1.02 0.00 ,,3.52 63.40 ,,2.78 0.60 ,,1.02 -0.30 ,,2.42 101.10 ,,1.15 3.90 ,,3.23,18.4,,,,,,
,2.14 -0.10 ,,1.02 0.00 ,,3.54 65.40 ,,2.80 0.80 ,,1.02 -0.40 ,,1.02 -0.10 ,,1.16 5.00 ,,3.25,19.7,,,,,,
,2.16 -0.30 ,,1.02 -0.30 ,,3.56 67.80 ,,2.82 0.70 ,,1.03 -0.20 ,,1.02 -0.10 ,,1.17 6.60 ,,3.27,21.7,,,,,,
,2.18 -0.20 ,,1.02 0.00 ,,3.57 69.90 ,,2.84 1.00 ,,1.02 -0.30 ,,1.02 0.00 ,,1.19 9.40 ,,3.29,23.5,,,,,,
,2.21 -0.30 ,,1.03 -0.40 ,,3.59 71.80 ,,2.86 1.10 ,,1.03 -0.30 ,,1.02 0.00 ,,1.20 11.80 ,,3.3,25.5,,,,,,
,2.23 -0.30 ,,1.02 0.10 ,,3.60 73.50 ,,2.89 1.30 ,,1.02 0.00 ,,1.02 0.00 ,,1.21 15.70 ,,3.32,27.3,,,,,,
,2.25 -0.10 ,,1.02 0.00 ,,3.62 75.70 ,,2.90 1.10 ,,1.02 -0.30 ,,1.02 0.00 ,,1.22 19.00 ,,3.33,28.5,,,,,,
,2.28 -0.30 ,,1.03 0.10 ,,3.64 78.20 ,,2.93 1.10 ,,1.02 -0.30 ,,1.02 -0.20 ,,1.23 22.40 ,,3.36,31,,,,,,
,2.30 -0.40 ,,1.03 -0.40 ,,3.65 80.80 ,,2.95 1.30 ,,1.02 -0.10 ,,1.02 -0.40 ,,1.24 27.80 ,,3.38,32.8,,,,,,
,2.33 -0.20 ,,1.02 0.10 ,,3.67 82.80 ,,2.97 1.50 ,,1.03 -0.20 ,,1.02 0.00 ,,1.26 32.50 ,,3.39,34.9,,,,,,
,2.35 -0.10 ,,1.02 0.00 ,,3.68 85.20 ,,3.00 1.60 ,,1.02 -0.40 ,,1.02 0.10 ,,1.27 38.20 ,,3.41,37,,,,,,
,2.36 -0.10 ,,1.02 -0.10 ,,3.69 86.90 ,,3.02 1.80 ,,1.02 -0.10 ,,1.02 -0.20 ,,1.28 44.00 ,,3.43,38.6,,,,,,
,2.39 -0.10 ,,1.02 -0.20 ,,3.70 86.80 ,,3.04 1.90 ,,1.03 0.10 ,,1.02 -0.10 ,,1.29 49.80 ,,3.44,40.4,,,,,,
,2.42 -0.10 ,,1.02 -0.20 ,,3.70 87.10 ,,3.06 1.90 ,,1.03 0.00 ,,1.02 -0.20 ,,1.30 54.50 ,,3.46,42.2,,,,,,
,2.44 0.00 ,,1.02 -0.30 ,,3.70 87.00 ,,3.08 1.70 ,,1.03 -0.30 ,,1.02 -0.30 ,,1.31 61.00 ,,3.48,44.5,,,,,,
,2.47 -0.20 ,,1.03 -0.50 ,,1.02 0.00 ,,3.11 2.20 ,,1.02 0.00 ,,1.02 -0.20 ,,1.32 67.70 ,,3.49,46.4,,,,,,
,2.49 -0.20 ,,1.02 -0.10 ,,1.02 -0.20 ,,3.12 2.00 ,,1.02 -0.10 ,,1.03 -0.20 ,,1.33 74.40 ,,3.51,49.1,,,,,,
,2.51 0.00 ,,1.02 -0.10 ,,1.03 -0.30 ,,3.15 2.30 ,,1.02 -0.30 ,,1.02 0.10 ,,1.34 81.60 ,,3.53,50.5,,,,,,
,2.54 0.10 ,,1.02 -0.30 ,,1.03 -0.10 ,,3.18 2.50 ,,1.03 -0.30 ,,1.02 -0.10 ,,1.35 87.00 ,,3.54,53.1,,,,,,
,2.56 -0.10 ,,1.02 -0.10 ,,1.02 0.00 ,,3.20 2.40 ,,1.02 0.00 ,,1.02 0.10 ,,1.36 93.50 ,,3.56,54.8,,,,,,
,2.58 -0.10 ,,1.02 -0.30 ,,1.02 -0.20 ,,3.22 2.70 ,,1.02 0.00 ,,1.02 -0.30 ,,1.36 99.10 ,,3.58,56.7,,,,,,
,2.61 -0.20 ,,1.02 -0.40 ,,1.03 0.00 ,,3.25 2.70 ,,1.03 0.00 ,,1.02 -0.10 ,,1.37 106.40 ,,3.6,59.6,,,,,,
,2.63 0.10 ,,1.03 -0.20 ,,1.02 -0.10 ,,3.27 2.60 ,,1.02 -0.50 ,,1.02 0.00 ,,0.81 0.00 ,,3.61,61.7,,,,,,
,2.65 -0.10 ,,1.02 -0.10 ,,1.02 -0.30 ,,3.28 2.80 ,,1.03 -0.30 ,,1.02 -0.20 ,,0.81 -0.10 ,,3.63,63.8,,,,,,
,2.67 0.00 ,,1.03 -0.20 ,,1.03 -0.10 ,,3.31 2.80 ,,1.03 -0.20 ,,1.02 -0.30 ,,0.81 0.10 ,,3.64,65.8,,,,,,
,2.70 -0.10 ,,1.03 0.00 ,,1.03 -0.10 ,,3.34 3.30 ,,1.02 0.00 ,,1.03 -0.40 ,,0.81 -0.10 ,,3.66,68.3,,,,,,
,2.71 -0.30 ,,1.04 -0.20 ,,1.02 0.00 ,,3.36 3.00 ,,1.03 -0.10 ,,1.02 0.20 ,,0.81 -0.20 ,,3.67,70.4,,,,,,
,2.74 -0.30 ,,1.05 -0.10 ,,1.02 -0.30 ,,3.38 3.40 ,,1.02 -0.30 ,,1.02 -0.10 ,,0.81 -0.40 ,,3.69,72.7,,,,,,
,2.76 0.00 ,,1.06 -0.10 ,,1.03 -0.30 ,,3.41 3.50 ,,1.03 0.00 ,,1.02 -0.10 ,,0.81 -0.30 ,,3.71,75.5,,,,,,
,2.78 -0.10 ,,1.07 -0.10 ,,1.02 -0.20 ,,3.42 3.70 ,,1.03 -0.10 ,,1.02 -0.10 ,,0.81 -0.10 ,,3.72,77.5,,,,,,
,2.80 -0.10 ,,1.09 -0.20 ,,1.02 -0.30 ,,3.45 3.70 ,,1.02 -0.10 ,,1.03 -0.10 ,,0.82 -0.30 ,,3.74,79.9,,,,,,
,2.81 -0.10 ,,1.11 -0.30 ,,1.02 0.00 ,,3.47 3.70 ,,1.03 -0.30 ,,1.02 0.20 ,,0.81 -0.40 ,,3.76,81.5,,,,,,
,2.83 -0.10 ,,1.13 -0.10 ,,1.02 0.00 ,,3.49 4.00 ,,1.03 0.00 ,,1.03 -0.20 ,,0.81 -0.20 ,,3.76,82.1,,,,,,
,2.84 -0.20 ,,1.14 -0.30 ,,1.02 -0.30 ,,3.52 3.90 ,,1.03 -0.10 ,,1.03 -0.30 ,,0.82 -0.20 ,,3.76,82,,,,,,
,2.86 0.00 ,,1.16 0.10 ,,1.02 -0.30 ,,3.54 4.40 ,,1.02 -0.30 ,,1.02 -0.10 ,,0.81 -0.20 ,,3.76,81.9,,,,,,
,2.88 0.00 ,,1.18 -0.20 ,,1.02 -0.10 ,,3.56 4.30 ,,1.03 -0.20 ,,1.02 -0.10 ,,0.81 -0.10 ,,,,,,,,,
,2.89 0.10 ,,1.20 -0.10 ,,1.03 0.00 ,,3.58 4.30 ,,1.03 -0.40 ,,1.02 -0.20 ,,0.81 0.10 ,,,,,,,,,
,2.90 0.20 ,,1.22 -0.10 ,,1.03 -0.10 ,,3.60 4.50 ,,1.02 -0.10 ,,1.02 -0.30 ,,0.81 -0.40 ,,,,,,,,,
,2.92 0.50 ,,1.25 0.10 ,,1.02 -0.30 ,,3.63 4.50 ,,1.03 -0.10 ,,1.03 -0.20 ,,0.81 -0.30 ,,,,,,,,,
,2.94 0.60 ,,1.27 -0.20 ,,1.02 0.00 ,,3.65 5.30 ,,1.03 -0.30 ,,1.02 -0.30 ,,0.82 -0.30 ,,,,,,,,,
,2.95 0.80 ,,1.29 -0.10 ,,1.02 -0.10 ,,3.68 5.10 ,,1.02 -0.40 ,,1.02 -0.10 ,,0.81 -0.10 ,,,,,,,,,
,2.97 1.20 ,,1.31 -0.10 ,,1.02 -0.10 ,,3.70 5.30 ,,1.02 -0.10 ,,1.02 -0.10 ,,0.81 0.00 ,,,,,,,,,
,2.98 1.70 ,,1.34 -0.30 ,,1.02 -0.10 ,,3.72 5.50 ,,1.02 -0.30 ,,1.02 -0.10 ,,0.81 -0.30 ,,,,,,,,,
,3.00 2.20 ,,1.36 -0.20 ,,1.02 -0.30 ,,3.73 5.90 ,,1.02 -0.10 ,,1.02 -0.30 ,,0.81 -0.10 ,,,,,,,,,
,3.02 2.60 ,,1.38 -0.30 ,,1.02 -0.20 ,,3.76 5.70 ,,1.03 0.00 ,,1.02 -0.10 ,,0.81 -0.40 ,,,,,,,,,
,3.03 3.70 ,,1.41 -0.20 ,,1.02 -0.20 ,,3.79 5.70 ,,1.02 -0.10 ,,1.03 0.00 ,,0.82 -0.10 ,,,,,,,,,
,3.05 4.40 ,,1.43 -0.40 ,,1.02 0.00 ,,3.80 6.10 ,,1.02 -0.10 ,,1.02 -0.30 ,,0.81 -0.10 ,,,,,,,,,
,3.07 5.20 ,,1.45 0.00 ,,1.02 -0.10 ,,3.84 6.30 ,,1.03 0.00 ,,1.02 -0.10 ,,0.81 -0.30 ,,,,,,,,,
,3.08 6.20 ,,1.48 0.00 ,,1.02 -0.10 ,,3.85 6.30 ,,1.02 -0.30 ,,1.03 -0.20 ,,0.81 0.00 ,,,,,,,,,
,3.10 7.00 ,,1.50 -0.20 ,,1.02 -0.40 ,,3.88 6.40 ,,1.02 -0.10 ,,1.02 0.00 ,,0.82 -0.30 ,,,,,,,,,
,3.12 8.30 ,,1.52 -0.30 ,,1.02 -0.20 ,,3.90 6.80 ,,1.02 -0.40 ,,,,0.81 -0.20 ,,,,,,,,,
,3.13 9.60 ,,1.54 -0.30 ,,1.02 0.00 ,,3.92 6.70 ,,1.03 -0.40 ,,,,0.81 0.00 ,,,,,,,,,
,3.15 11.10 ,,1.57 -0.10 ,,1.02 0.00 ,,3.94 6.90 ,,1.03 -0.30 ,,,,0.81 -0.30 ,,,,,,,,,
,3.17 12.30 ,,1.59 -0.40 ,,1.02 -0.30 ,,3.97 7.20 ,,1.03 -0.10 ,,,,0.81 -0.30 ,,,,,,,,,
,3.18 13.50 ,,1.60 -0.40 ,,1.02 -0.10 ,,3.99 7.70 ,,1.04 0.10 ,,,,0.81 -0.40 ,,,,,,,,,
,3.20 15.30 ,,1.62 0.10 ,,1.02 -0.10 ,,4.00 7.70 ,,1.05 -0.40 ,,,,0.82 -0.10 ,,,,,,,,,
,3.22 16.40 ,,1.64 -0.10 ,,1.02 -0.30 ,,4.03 7.70 ,,1.06 -0.10 ,,,,0.81 -0.30 ,,,,,,,,,
,3.23 18.40 ,,1.66 -0.20 ,,1.02 0.10 ,,4.05 7.90 ,,1.07 -0.20 ,,,,0.81 -0.10 ,,,,,,,,,
,3.25 19.70 ,,1.68 -0.10 ,,1.03 -0.20 ,,4.06 8.10 ,,1.09 -0.20 ,,,,0.82 0.10 ,,,,,,,,,
,3.27 21.70 ,,1.69 -0.10 ,,1.02 -0.40 ,,1.03 -0.10 ,,1.10 -0.50 ,,,,0.82 -0.20 ,,,,,,,,,
,3.29 23.50 ,,1.70 0.10 ,,1.02 -0.40 ,,1.02 -0.20 ,,1.13 -0.40 ,,,,0.81 0.00 ,,,,,,,,,
,3.30 25.50 ,,1.72 0.00 ,,1.02 -0.40 ,,1.02 -0.20 ,,1.14 -0.10 ,,,,0.82 -0.40 ,,,,,,,,,
,3.32 27.30 ,,1.74 -0.20 ,,1.02 -0.20 ,,1.02 -0.30 ,,1.16 0.10 ,,,,0.81 -0.10 ,,,,,,,,,
,3.33 28.50 ,,1.75 0.00 ,,1.02 0.20 ,,1.03 -0.30 ,,1.18 -0.40 ,,,,0.81 -0.10 ,,,,,,,,,
,3.36 31.00 ,,1.77 0.10 ,,1.02 0.00 ,,1.02 -0.40 ,,1.20 -0.30 ,,,,0.81 -0.10 ,,,,,,,,,
,3.38 32.80 ,,1.79 0.10 ,,1.02 -0.10 ,,1.02 -0.10 ,,1.22 0.10 ,,,,0.81 0.00 ,,,,,,,,,
,3.39 34.90 ,,1.80 0.40 ,,1.02 -0.10 ,,1.03 -0.30 ,,1.25 -0.20 ,,,,0.81 0.00 ,,,,,,,,,
,3.41 37.00 ,,1.82 0.30 ,,1.02 -0.30 ,,1.02 0.10 ,,1.28 -0.30 ,,,,0.82 0.10 ,,,,,,,,,
,3.43 38.60 ,,1.84 0.80 ,,1.03 0.10 ,,1.02 -0.30 ,,1.29 -0.10 ,,,,0.81 -0.40 ,,,,,,,,,
,3.44 40.40 ,,1.85 0.80 ,,1.02 -0.40 ,,1.02 -0.30 ,,1.32 -0.30 ,,,,0.82 0.00 ,,,,,,,,,
,3.46 42.20 ,,1.87 1.10 ,,1.02 0.00 ,,1.02 -0.30 ,,1.34 0.10 ,,,,0.82 -0.30 ,,,,,,,,,
,3.48 44.50 ,,1.89 1.50 ,,1.02 -0.30 ,,1.02 -0.30 ,,1.36 0.20 ,,,,0.81 -0.30 ,,,,,,,,,
,3.49 46.40 ,,1.90 1.80 ,,1.02 -0.10 ,,1.03 -0.30 ,,1.39 -0.10 ,,,,0.81 0.00 ,,,,,,,,,
,3.51 49.10 ,,1.92 2.20 ,,1.02 -0.20 ,,1.02 -0.30 ,,1.41 -0.20 ,,,,0.81 -0.30 ,,,,,,,,,
,3.53 50.50 ,,1.94 2.70 ,,1.02 -0.10 ,,1.02 -0.40 ,,1.43 -0.30 ,,,,0.81 -0.30 ,,,,,,,,,
,3.54 53.10 ,,1.95 3.50 ,,1.02 -0.30 ,,1.02 -0.20 ,,1.45 -0.10 ,,,,0.81 -0.10 ,,,,,,,,,
,3.56 54.80 ,,1.98 4.20 ,,1.03 -0.30 ,,1.02 -0.30 ,,1.48 -0.10 ,,,,0.82 -0.10 ,,,,,,,,,
,3.58 56.70 ,,1.99 5.00 ,,1.03 -0.10 ,,1.02 -0.30 ,,1.50 -0.20 ,,,,0.82 0.10 ,,,,,,,,,
,3.60 59.60 ,,2.02 5.90 ,,1.03 0.00 ,,1.02 -0.10 ,,1.52 -0.10 ,,,,0.82 -0.30 ,,,,,,,,,
,3.61 61.70 ,,2.03 6.70 ,,1.04 -0.30 ,,1.03 -0.30 ,,1.55 -0.30 ,,,,0.83 -0.40 ,,,,,,,,,
,3.63 63.80 ,,2.04 7.80 ,,1.04 -0.10 ,,1.02 -0.10 ,,1.57 -0.30 ,,,,0.84 0.00 ,,,,,,,,,
,3.64 65.80 ,,2.06 9.00 ,,1.05 -0.40 ,,1.02 -0.10 ,,1.59 -0.10 ,,,,0.85 0.00 ,,,,,,,,,
,3.66 68.30 ,,2.08 10.40 ,,1.07 0.00 ,,1.02 -0.20 ,,1.60 0.00 ,,,,0.86 0.10 ,,,,,,,,,
,3.67 70.40 ,,2.10 12.10 ,,1.08 -0.30 ,,1.03 0.10 ,,1.62 -0.40 ,,,,0.88 0.00 ,,,,,,,,,
,3.69 72.70 ,,2.12 13.90 ,,1.10 0.10 ,,1.02 -0.40 ,,1.64 0.00 ,,,,0.89 -0.10 ,,,,,,,,,
,3.71 75.50 ,,2.13 15.70 ,,1.12 0.00 ,,1.02 -0.20 ,,1.66 -0.30 ,,,,0.91 -0.20 ,,,,,,,,,
,3.72 77.50 ,,2.14 16.90 ,,1.14 -0.40 ,,1.02 -0.10 ,,1.68 0.10 ,,,,0.92 -0.20 ,,,,,,,,,
,3.74 79.90 ,,2.16 19.40 ,,1.16 0.00 ,,1.02 -0.20 ,,1.70 -0.10 ,,,,0.94 -0.20 ,,,,,,,,,
,3.76 81.50 ,,2.18 21.60 ,,1.18 -0.10 ,,1.02 -0.10 ,,1.71 -0.40 ,,,,0.96 0.10 ,,,,,,,,,
,3.76 82.10 ,,2.20 24.10 ,,1.20 -0.10 ,,1.02 0.00 ,,1.73 -0.10 ,,,,0.97 -0.10 ,,,,,,,,,
,3.76 82.00 ,,2.22 27.00 ,,1.22 0.30 ,,1.02 -0.20 ,,1.74 0.10 ,,,,0.98 -0.30 ,,,,,,,,,
,3.76 81.90 ,,2.24 29.10 ,,1.24 -0.30 ,,1.02 0.10 ,,1.76 0.00 ,,,,1.00 0.00 ,,,,,,,,,
,1.03 -0.20 ,,2.25 31.80 ,,1.27 0.20 ,,1.02 -0.30 ,,1.78 0.10 ,,,,1.02 0.10 ,,,,,,,,,
,1.03 0.00 ,,2.26 34.20 ,,1.29 0.00 ,,1.02 -0.40 ,,1.80 0.10 ,,,,1.03 0.10 ,,,,,,,,,
,1.03 0.10 ,,2.28 37.70 ,,1.31 0.00 ,,1.02 -0.30 ,,1.81 0.30 ,,,,1.04 0.30 ,,,,,,,,,
,1.02 -0.10 ,,2.30 40.60 ,,1.33 -0.20 ,,1.02 -0.10 ,,1.82 0.40 ,,,,1.06 0.40 ,,,,,,,,,
,1.02 -0.10 ,,2.31 44.50 ,,1.36 -0.10 ,,1.02 0.00 ,,1.84 0.60 ,,,,1.08 0.60 ,,,,,,,,,
,1.02 -0.20 ,,2.32 47.40 ,,1.38 -0.10 ,,1.02 -0.20 ,,1.86 0.90 ,,,,1.09 0.60 ,,,,,,,,,
,1.02 0.00 ,,2.34 50.20 ,,1.41 -0.20 ,,1.03 -0.10 ,,1.87 1.40 ,,,,1.11 1.40 ,,,,,,,,,
,1.02 0.00 ,,2.35 53.90 ,,1.43 -0.40 ,,1.02 -0.10 ,,1.89 1.80 ,,,,1.12 2.10 ,,,,,,,,,
,1.03 0.00 ,,2.36 56.60 ,,1.45 -0.10 ,,1.02 -0.20 ,,1.90 2.50 ,,,,1.14 2.40 ,,,,,,,,,
,1.03 -0.10 ,,2.38 61.70 ,,1.47 -0.10 ,,1.02 0.00 ,,1.92 3.10 ,,,,1.15 3.70 ,,,,,,,,,
,1.02 -0.30 ,,2.39 65.80 ,,1.50 0.00 ,,1.02 -0.10 ,,1.93 3.80 ,,,,1.16 5.00 ,,,,,,,,,
,1.02 0.00 ,,2.41 69.70 ,,1.52 -0.20 ,,1.02 -0.10 ,,1.94 5.40 ,,,,1.18 6.80 ,,,,,,,,,
,1.03 -0.20 ,,2.42 73.20 ,,1.55 -0.30 ,,1.02 -0.40 ,,1.96 7.40 ,,,,1.19 9.50 ,,,,,,,,,
,1.02 -0.10 ,,2.43 77.50 ,,1.57 -0.10 ,,1.02 -0.20 ,,1.97 8.90 ,,,,1.20 12.30 ,,,,,,,,,
,1.03 -0.20 ,,2.44 81.60 ,,1.59 -0.20 ,,1.02 -0.30 ,,1.98 12.20 ,,,,1.21 15.50 ,,,,,,,,,
,1.02 -0.20 ,,2.45 85.90 ,,1.61 -0.30 ,,1.02 -0.30 ,,2.00 14.90 ,,,,1.22 18.80 ,,,,,,,,,
,1.03 0.10 ,,2.46 90.90 ,,1.64 -0.30 ,,1.02 -0.40 ,,2.01 17.90 ,,,,1.23 22.10 ,,,,,,,,,
,1.02 0.00 ,,2.47 95.40 ,,1.66 -0.10 ,,1.02 -0.20 ,,2.02 22.20 ,,,,1.25 28.00 ,,,,,,,,,
,1.03 -0.10 ,,2.48 100.00 ,,1.68 -0.30 ,,1.02 -0.10 ,,2.03 26.90 ,,,,1.26 32.80 ,,,,,,,,,
,1.03 -0.10 ,,2.50 104.40 ,,1.71 -0.30 ,,1.02 -0.30 ,,2.04 32.60 ,,,,1.27 38.60 ,,,,,,,,,
,1.03 -0.30 ,,1.02 -0.40 ,,1.74 -0.20 ,,1.02 -0.10 ,,2.05 38.00 ,,,,1.28 44.40 ,,,,,,,,,
,1.03 0.00 ,,1.03 -0.10 ,,1.76 -0.10 ,,1.03 -0.10 ,,2.06 44.20 ,,,,1.29 49.60 ,,,,,,,,,
,1.03 -0.10 ,,1.02 -0.30 ,,1.78 -0.40 ,,1.02 -0.10 ,,2.06 49.60 ,,,,1.30 55.30 ,,,,,,,,,
,1.02 0.10 ,,1.02 -0.30 ,,1.80 -0.10 ,,1.02 -0.20 ,,2.07 56.70 ,,,,1.31 60.80 ,,,,,,,,,
,1.03 -0.30 ,,1.02 0.10 ,,1.82 -0.30 ,,1.03 0.00 ,,2.07 64.20 ,,,,1.32 68.10 ,,,,,,,,,
,1.02 -0.20 ,,1.02 -0.10 ,,1.85 0.00 ,,1.02 -0.20 ,,2.08 72.00 ,,,,1.33 74.60 ,,,,,,,,,
,1.02 0.00 ,,1.02 -0.10 ,,1.87 0.20 ,,1.02 -0.10 ,,2.09 81.40 ,,,,1.34 81.80 ,,,,,,,,,
,1.02 0.00 ,,1.02 0.00 ,,1.90 0.10 ,,1.03 -0.40 ,,2.09 87.80 ,,,,1.35 87.30 ,,,,,,,,,
,1.02 -0.30 ,,1.02 0.00 ,,1.92 -0.20 ,,1.03 -0.40 ,,2.09 95.20 ,,,,1.36 93.00 ,,,,,,,,,
,1.02 -0.20 ,,1.02 0.00 ,,1.94 -0.20 ,,1.02 -0.10 ,,2.10 102.40 ,,,,1.37 99.60 ,,,,,,,,,
,1.02 -0.30 ,,1.03 -0.20 ,,1.97 -0.30 ,,,,1.02 0.00 ,,,,1.37 106.30 ,,,,,,,,,
,1.02 -0.20 ,,1.03 -0.20 ,,1.99 0.00 ,,,,1.02 0.00 ,,,,0.81 0.20 ,,,,,,,,,
,1.02 -0.10 ,,1.03 0.00 ,,2.02 -0.40 ,,,,1.02 -0.10 ,,,,0.81 0.00 ,,,,,,,,,
,1.02 -0.30 ,,1.02 -0.10 ,,2.04 -0.30 ,,,,1.03 0.00 ,,,,0.81 -0.50 ,,,,,,,,,
,1.02 -0.10 ,,1.02 -0.20 ,,2.06 -0.30 ,,,,1.02 -0.30 ,,,,0.81 -0.30 ,,,,,,,,,
,1.02 0.00 ,,1.02 -0.40 ,,2.08 -0.20 ,,,,1.02 -0.40 ,,,,0.81 -0.10 ,,,,,,,,,
