,,,,,,,,,,,,,,,,,,,,,,
,1.02 0.20 ,,1.02 -0.20 ,,2.11 -0.20 ,,,,1.03 0.00 ,,,,0.81 -0.20 ,,,,,,,,,
,1.02 -0.30 ,,1.02 -0.20 ,,2.13 0.00 ,,,,1.02 -0.30 ,,,,0.81 -0.50 ,,,,,,,,,
,1.02 0.00 ,,1.02 -0.40 ,,2.16 -0.10 ,,,,1.03 -0.30 ,,,,0.82 -0.20 ,,,,,,,,,
,1.02 -0.10 ,,1.02 -0.10 ,,2.18 -0.10 ,,,,1.02 -0.10 ,,,,0.81 -0.30 ,,,,,,,,,
,1.02 0.00 ,,1.02 0.10 ,,2.20 0.00 ,,,,1.03 -0.20 ,,,,0.82 -0.30 ,,,,,,,,,
,1.02 -0.40 ,,1.02 0.10 ,,2.22 -0.30 ,,,,1.02 -0.20 ,,,,0.81 -0.10 ,,,,,,,,,
,1.02 -0.30 ,,1.02 -0.10 ,,2.24 -0.10 ,,,,1.03 -0.30 ,,,,0.82 -0.30 ,,,,,,,,,
,1.02 -0.30 ,,1.02 0.00 ,,2.27 0.10 ,,,,1.02 -0.20 ,,,,0.81 -0.20 ,,,,,,,,,
,1.03 -0.30 ,,1.02 -0.40 ,,2.29 -0.20 ,,,,1.02 -0.30 ,,,,0.81 0.00 ,,,,,,,,,
,1.02 -0.40 ,,1.02 -0.20 ,,2.32 -0.20 ,,,,1.03 0.00 ,,,,0.81 -0.50 ,,,,,,,,,
,1.02 -0.10 ,,1.02 -0.10 ,,2.34 0.20 ,,,,1.02 0.10 ,,,,0.81 -0.30 ,,,,,,,,,
,1.02 -0.30 ,,1.02 -0.40 ,,2.36 0.00 ,,,,1.03 -0.10 ,,,,0.81 -0.20 ,,,,,,,,,
,1.02 0.00 ,,1.02 0.00 ,,2.38 -0.30 ,,,,1.03 0.00 ,,,,0.81 -0.40 ,,,,,,,,,
,1.03 0.00 ,,1.02 0.00 ,,2.41 -0.20 ,,,,1.03 -0.30 ,,,,0.81 0.20 ,,,,,,,,,
,1.02 -0.30 ,,1.02 -0.10 ,,2.44 -0.10 ,,,,1.03 0.00 ,,,,0.81 -0.10 ,,,,,,,,,
,1.03 -0.10 ,,1.03 -0.40 ,,2.46 -0.10 ,,,,1.02 0.00 ,,,,0.81 0.00 ,,,,,,,,,
,1.02 -0.20 ,,1.02 -0.20 ,,2.47 0.00 ,,,,1.02 0.00 ,,,,0.81 -0.40 ,,,,,,,,,
,1.02 -0.20 ,,1.02 -0.10 ,,2.49 0.00 ,,,,1.02 -0.10 ,,,,0.81 -0.30 ,,,,,,,,,
,1.02 -0.30 ,,1.03 0.00 ,,2.50 -0.10 ,,,,1.02 0.00 ,,,,0.81 -0.30 ,,,,,,,,,
,1.02 -0.20 ,,1.02 -0.30 ,,2.52 -0.20 ,,,,1.02 -0.50 ,,,,0.81 -0.20 ,,,,,,,,,
,1.02 -0.30 ,,1.02 -0.10 ,,2.53 0.10 ,,,,1.03 -0.30 ,,,,0.81 -0.20 ,,,,,,,,,
,1.02 -0.10 ,,1.03 -0.30 ,,2.55 0.00 ,,,,1.02 -0.30 ,,,,0.81 -0.10 ,,,,,,,,,
,1.02 -0.10 ,,1.02 -0.20 ,,2.56 0.20 ,,,,1.03 -0.10 ,,,,0.82 0.00 ,,,,,,,,,
,1.02 -0.20 ,,1.02 -0.20 ,,2.58 0.10 ,,,,1.02 -0.20 ,,,,0.81 -0.20 ,,,,,,,,,
,1.02 0.10 ,,1.03 -0.30 ,,2.58 0.30 ,,,,1.02 -0.40 ,,,,0.81 0.00 ,,,,,,,,,
,1.02 -0.10 ,,1.02 -0.10 ,,2.60 0.60 ,,,,1.02 -0.20 ,,,,0.82 -0.30 ,,,,,,,,,
,1.03 -0.30 ,,1.02 -0.30 ,,2.62 0.90 ,,,,1.02 -0.10 ,,,,0.81 0.10 ,,,,,,,,,
,1.03 -0.20 ,,1.02 -0.40 ,,2.64 1.00 ,,,,1.02 0.00 ,,,,0.81 -0.20 ,,,,,,,,,
,1.04 -0.20 ,,1.02 -0.20 ,,2.65 1.10 ,,,,1.02 -0.20 ,,,,0.82 -0.10 ,,,,,,,,,
,1.05 -0.30 ,,1.02 -0.10 ,,2.67 1.70 ,,,,1.02 -0.10 ,,,,0.82 -0.40 ,,,,,,,,,
,1.06 -0.10 ,,1.02 -0.10 ,,2.69 2.30 ,,,,1.02 0.00 ,,,,0.81 -0.10 ,,,,,,,,,
,1.07 0.00 ,,1.02 -0.30 ,,2.70 2.70 ,,,,1.03 -0.10 ,,,,0.81 -0.40 ,,,,,,,,,
,1.09 -0.40 ,,1.02 -0.40 ,,2.72 3.40 ,,,,1.02 -0.30 ,,,,0.81 0.00 ,,,,,,,,,
,1.11 -0.20 ,,1.02 -0.10 ,,2.74 4.10 ,,,,1.03 -0.20 ,,,,0.81 -0.10 ,,,,,,,,,
,1.13 -0.30 ,,1.02 0.00 ,,2.76 4.70 ,,,,1.02 -0.20 ,,,,0.81 0.00 ,,,,,,,,,
,1.14 -0.20 ,,1.02 -0.10 ,,2.78 5.60 ,,,,1.02 -0.10 ,,,,0.81 -0.30 ,,,,,,,,,
,1.16 0.10 ,,1.02 -0.20 ,,2.79 6.10 ,,,,1.02 0.00 ,,,,0.81 -0.40 ,,,,,,,,,
,1.18 0.00 ,,1.02 -0.40 ,,2.81 7.10 ,,,,1.03 -0.30 ,,,,0.81 -0.10 ,,,,,,,,,
,1.20 -0.10 ,,1.02 -0.30 ,,2.83 7.90 ,,,,1.02 -0.40 ,,,,0.81 0.00 ,,,,,,,,,
,1.23 0.00 ,,1.02 -0.30 ,,2.85 8.40 ,,,,1.02 -0.20 ,,,,0.81 0.00 ,,,,,,,,,
,1.25 -0.50 ,,1.03 -0.40 ,,2.86 9.60 ,,,,1.02 -0.20 ,,,,0.81 -0.30 ,,,,,,,,,
,1.27 0.00 ,,1.02 -0.10 ,,2.89 10.80 ,,,,1.03 -0.10 ,,,,0.81 -0.10 ,,,,,,,,,
,1.30 -0.10 ,,1.02 0.00 ,,2.90 11.70 ,,,,1.03 -0.20 ,,,,0.81 -0.10 ,,,,,,,,,
,1.31 -0.30 ,,1.02 -0.30 ,,2.92 12.70 ,,,,1.02 -0.10 ,,,,0.81 -0.30 ,,,,,,,,,
,1.34 -0.20 ,,1.02 -0.20 ,,2.94 13.50 ,,,,1.02 0.10 ,,,,0.81 0.00 ,,,,,,,,,
,1.36 -0.40 ,,1.03 -0.10 ,,2.96 14.50 ,,,,1.02 -0.30 ,,,,0.81 -0.20 ,,,,,,,,,
,1.38 -0.20 ,,1.03 -0.30 ,,2.98 16.00 ,,,,1.02 -0.30 ,,,,0.81 -0.30 ,,,,,,,,,
,1.41 -0.40 ,,1.03 -0.10 ,,3.00 16.80 ,,,,1.03 -0.40 ,,,,0.81 -0.10 ,,,,,,,,,
,1.43 0.00 ,,1.04 0.00 ,,3.01 18.20 ,,,,1.02 -0.20 ,,,,0.81 0.00 ,,,,,,,,,
,1.46 -0.10 ,,1.05 -0.40 ,,3.04 19.20 ,,,,,,,,0.82 -0.10 ,,,,,,,,,
,1.48 -0.10 ,,1.06 0.00 ,,3.05 20.40 ,,,,,,,,0.82 0.00 ,,,,,,,,,
,1.50 -0.30 ,,1.07 -0.10 ,,3.07 21.60 ,,,,,,,,0.82 -0.40 ,,,,,,,,,
,1.53 0.00 ,,1.09 -0.30 ,,3.09 22.90 ,,,,,,,,0.83 -0.30 ,,,,,,,,,
,1.55 -0.10 ,,1.11 0.00 ,,3.11 24.50 ,,,,,,,,0.84 -0.20 ,,,,,,,,,
,1.58 0.00 ,,1.13 -0.40 ,,3.13 25.60 ,,,,,,,,0.85 -0.20 ,,,,,,,,,
,1.60 0.00 ,,1.14 -0.50 ,,3.14 27.00 ,,,,,,,,0.86 0.00 ,,,,,,,,,
,1.62 -0.30 ,,1.16 -0.20 ,,3.16 28.20 ,,,,,,,,0.88 0.00 ,,,,,,,,,
,1.64 -0.10 ,,1.18 -0.30 ,,3.18 29.40 ,,,,,,,,0.90 -0.10 ,,,,,,,,,
,1.67 0.00 ,,1.20 -0.30 ,,3.20 31.20 ,,,,,,,,0.90 -0.20 ,,,,,,,,,
,1.69 -0.10 ,,1.22 -0.10 ,,3.22 32.30 ,,,,,,,,0.93 0.00 ,,,,,,,,,
,1.72 -0.30 ,,1.25 -0.30 ,,3.24 34.60 ,,,,,,,,0.94 -0.30 ,,,,,,,,,
,1.74 0.00 ,,1.28 0.00 ,,3.26 35.70 ,,,,,,,,0.95 0.10 ,,,,,,,,,
,1.76 -0.30 ,,1.29 0.00 ,,3.28 37.20 ,,,,,,,,0.97 0.10 ,,,,,,,,,
,1.79 -0.10 ,,1.32 -0.10 ,,3.29 38.80 ,,,,,,,,0.98 0.10 ,,,,,,,,,
,1.80 -0.10 ,,1.33 -0.30 ,,3.31 40.20 ,,,,,,,,1.00 -0.30 ,,,,,,,,,
,1.84 -0.10 ,,1.36 -0.40 ,,3.33 42.40 ,,,,,,,,1.02 0.00 ,,,,,,,,,
,1.86 -0.40 ,,1.38 -0.20 ,,3.35 43.70 ,,,,,,,,1.03 0.10 ,,,,,,,,,
,1.88 -0.10 ,,1.41 -0.20 ,,3.36 45.40 ,,,,,,,,1.04 0.20 ,,,,,,,,,
,1.90 0.00 ,,1.43 0.00 ,,3.38 47.10 ,,,,,,,,1.06 0.20 ,,,,,,,,,
,1.92 -0.30 ,,1.45 -0.40 ,,3.40 48.90 ,,,,,,,,1.08 0.60 ,,,,,,,,,
,1.95 -0.50 ,,1.48 0.00 ,,3.41 50.50 ,,,,,,,,1.09 0.70 ,,,,,,,,,
,1.97 0.00 ,,1.50 -0.30 ,,3.42 52.80 ,,,,,,,,1.11 1.30 ,,,,,,,,,
,2.00 -0.40 ,,1.52 -0.10 ,,3.45 54.50 ,,,,,,,,1.12 2.10 ,,,,,,,,,
,2.02 -0.20 ,,1.54 -0.30 ,,3.46 56.00 ,,,,,,,,1.14 2.80 ,,,,,,,,,
,2.04 -0.40 ,,1.57 0.00 ,,3.48 58.60 ,,,,,,,,1.15 3.80 ,,,,,,,,,
,2.06 -0.10 ,,1.59 -0.30 ,,3.50 60.10 ,,,,,,,,1.16 4.90 ,,,,,,,,,
,2.08 -0.20 ,,1.60 -0.30 ,,3.51 61.80 ,,,,,,,,1.18 7.10 ,,,,,,,,,
,2.11 -0.10 ,,1.62 -0.30 ,,3.53 64.20 ,,,,,,,,1.19 9.30 ,,,,,,,,,
,2.14 -0.20 ,,1.64 -0.30 ,,3.54 66.30 ,,,,,,,,1.20 12.30 ,,,,,,,,,
,2.16 -0.10 ,,1.66 -0.10 ,,3.56 68.60 ,,,,,,,,1.21 15.40 ,,,,,,,,,
,2.18 -0.10 ,,1.68 0.20 ,,3.58 70.70 ,,,,,,,,1.22 19.10 ,,,,,,,,,
,2.21 -0.20 ,,1.70 -0.20 ,,3.60 72.90 ,,,,,,,,1.24 22.00 ,,,,,,,,,
,2.23 -0.10 ,,1.71 -0.30 ,,3.60 74.30 ,,,,,,,,1.24 27.50 ,,,,,,,,,
,2.25 -0.10 ,,1.72 -0.30 ,,3.63 77.20 ,,,,,,,,1.26 33.20 ,,,,,,,,,
,2.28 0.20 ,,1.74 0.20 ,,3.64 79.00 ,,,,,,,,1.27 38.30 ,,,,,,,,,
,2.30 -0.10 ,,1.76 0.20 ,,3.66 81.80 ,,,,,,,,1.28 44.50 ,,,,,,,,,
,2.33 -0.30 ,,1.77 0.10 ,,3.68 84.20 ,,,,,,,,1.29 49.50 ,,,,,,,,,
,2.35 0.10 ,,1.79 0.10 ,,3.69 86.10 ,,,,,,,,1.30 55.30 ,,,,,,,,,
,2.37 -0.40 ,,1.80 0.50 ,,3.70 87.50 ,,,,,,,,1.30 61.00 ,,,,,,,,,
,2.39 -0.30 ,,1.82 0.60 ,,3.70 87.70 ,,,,,,,,1.32 68.10 ,,,,,,,,,
,2.42 0.10 ,,1.84 0.80 ,,3.70 88.00 ,,,,,,,,1.33 74.70 ,,,,,,,,,
,2.44 -0.10 ,,1.85 1.10 ,,3.70 87.40 ,,,,,,,,1.34 81.50 ,,,,,,,,,
,2.47 -0.30 ,,1.87 1.10 ,,1.03 -0.30 ,,,,,,,,1.35 87.50 ,,,,,,,,,
,2.49 0.10 ,,1.90 1.50 ,,1.02 -0.30 ,,,,,,,,1.35 93.00 ,,,,,,,,,
,2.52 -0.30 ,,1.90 1.80 ,,1.02 -0.20 ,,,,,,,,1.36 99.80 ,,,,,,,,,
,2.54 -0.10 ,,1.92 2.40 ,,1.02 0.00 ,,,,,,,,1.37 106.40 ,,,,,,,,,
,2.56 0.00 ,,1.94 2.70 ,,1.03 -0.40 ,,,,,,,,0.81 -0.30 ,,,,,,,,,
,2.58 0.10 ,,1.96 3.50 ,,1.03 -0.20 ,,,,,,,,0.81 -0.30 ,,,,,,,,,
,2.60 0.00 ,,1.98 4.20 ,,1.02 0.00 ,,,,,,,,0.81 -0.10 ,,,,,,,,,
,2.63 -0.10 ,,2.00 4.90 ,,1.03 -0.20 ,,,,,,,,0.81 -0.30 ,,,,,,,,,
,2.65 0.00 ,,2.01 5.90 ,,1.02 -0.30 ,,,,,,,,0.81 -0.30 ,,,,,,,,,
,2.67 -0.20 ,,2.03 6.90 ,,1.03 -0.20 ,,,,,,,,0.81 0.00 ,,,,,,,,,
,2.69 -0.30 ,,2.05 7.90 ,,1.02 0.00 ,,,,,,,,0.81 -0.30 ,,,,,,,,,
,2.71 -0.30 ,,2.06 9.10 ,,1.02 0.00 ,,,,,,,,0.81 -0.30 ,,,,,,,,,
,2.74 0.00 ,,2.08 10.50 ,,1.02 -0.20 ,,,,,,,,0.81 0.00 ,,,,,,,,,
,2.76 0.00 ,,2.10 12.10 ,,1.02 -,,,,,,,,0.81 -0.40 ,,,,,,,,,
,2.78 -0.40 ,,2.12 13.50 ,,,,,,,,,,0.81 0.00 ,,,,,,,,,
,2.80 0.00 ,,2.13 15.70 ,,,,,,,,,,0.81 0.00 ,,,,,,,,,
,2.81 0.10 ,,2.14 17.10 ,,,,,,,,,,0.81 -0.20 ,,,,,,,,,
,2.83 0.00 ,,2.17 19.00 ,,,,,,,,,,0.81 0.10 ,,,,,,,,,
,2.84 -0.10 ,,2.18 21.50 ,,,,,,,,,,0.81 -0.30 ,,,,,,,,,
,2.86 0.10 ,,2.20 23.70 ,,,,,,,,,,0.81 -0.40 ,,,,,,,,,
,2.88 0.20 ,,2.22 26.50 ,,,,,,,,,,0.81 0.10 ,,,,,,,,,
,2.89 0.20 ,,2.24 29.20 ,,,,,,,,,,0.81 -0.10 ,,,,,,,,,
,2.90 0.40 ,,2.24 31.80 ,,,,,,,,,,0.81 -0.20 ,,,,,,,,,
,2.92 0.30 ,,2.26 34.20 ,,,,,,,,,,0.81 -0.50 ,,,,,,,,,
,2.94 0.80 ,,2.28 37.50 ,,,,,,,,,,0.81 -0.30 ,,,,,,,,,
,2.95 0.70 ,,2.29 40.30 ,,,,,,,,,,0.81 0.00 ,,,,,,,,,
,2.97 1.30 ,,2.31 44.00 ,,,,,,,,,,0.81 -0.30 ,,,,,,,,,
,2.98 1.60 ,,2.32 46.90 ,,,,,,,,,,0.81 -0.10 ,,,,,,,,,
,3.00 2.20 ,,2.34 50.70 ,,,,,,,,,,0.81 -0.30 ,,,,,,,,,
,3.01 2.90 ,,2.35 54.20 ,,,,,,,,,,0.81 -0.10 ,,,,,,,,,
,3.02 3.60 ,,2.36 56.70 ,,,,,,,,,,0.81 -0.10 ,,,,,,,,,
,3.05 4.30 ,,2.38 61.70 ,,,,,,,,,,0.81 -0.30 ,,,,,,,,,
,3.06 5.30 ,,2.39 65.20 ,,,,,,,,,,0.81 -0.30 ,,,,,,,,,
,3.08 6.10 ,,2.41 69.50 ,,,,,,,,,,0.82 -0.40 ,,,,,,,,,
,3.10 7.20 ,,2.42 73.30 ,,,,,,,,,,0.81 0.00 ,,,,,,,,,
,3.12 8.20 ,,2.43 77.50 ,,,,,,,,,,0.81 -0.40 ,,,,,,,,,
,3.13 9.50 ,,2.44 81.00 ,,,,,,,,,,0.81 0.10 ,,,,,,,,,
,3.15 10.80 ,,2.45 85.70 ,,,,,,,,,,0.81 0.00 ,,,,,,,,,
,3.17 12.60 ,,2.46 90.80 ,,,,,,,,,,0.81 0.00 ,,,,,,,,,
,3.18 13.80 ,,2.46 95.00 ,,,,,,,,,,0.82 -0.10 ,,,,,,,,,
,3.20 15.00 ,,2.49 100.20 ,,,,,,,,,,0.81 0.10 ,,,,,,,,,
,3.22 16.00 ,,1.02 -0.40 ,,,,,,,,,,0.81 -0.10 ,,,,,,,,,
,3.23 18.20 ,,1.02 -0.20 ,,,,,,,,,,0.82 -0.50 ,,,,,,,,,
,3.25 19.60 ,,1.02 -0.10 ,,,,,,,,,,0.81 -0.30 ,,,,,,,,,
,3.27 21.70 ,,1.02 -0.20 ,,,,,,,,,,0.81 -0.30 ,,,,,,,,,
,3.29 23.80 ,,1.02 0.00 ,,,,,,,,,,0.82 -0.40 ,,,,,,,,,
,3.30 25.00 ,,1.02 0.00 ,,,,,,,,,,0.81 0.10 ,,,,,,,,,
,3.32 26.70 ,,1.03 -0.10 ,,,,,,,,,,0.82 0.10 ,,,,,,,,,
,3.34 28.80 ,,1.02 -0.40 ,,,,,,,,,,0.81 -0.40 ,,,,,,,,,
,3.36 30.70 ,,1.02 -0.30 ,,,,,,,,,,0.81 -0.10 ,,,,,,,,,
,3.37 32.80 ,,1.02 -0.10 ,,,,,,,,,,0.81 -0.20 ,,,,,,,,,
,3.40 34.90 ,,1.02 -0.10 ,,,,,,,,,,0.81 -0.20 ,,,,,,,,,
,3.41 36.90 ,,1.02 -0.10 ,,,,,,,,,,0.81 -0.10 ,,,,,,,,,
,3.42 38.40 ,,1.02 0.00 ,,,,,,,,,,0.81 -0.10 ,,,,,,,,,
,3.44 40.40 ,,1.02 -0.10 ,,,,,,,,,,0.81 -0.10 ,,,,,,,,,
,3.46 42.10 ,,1.02 -0.10 ,,,,,,,,,,0.81 -0.30 ,,,,,,,,,
,3.48 44.80 ,,1.02 -0.10 ,,,,,,,,,,0.82 -0.10 ,,,,,,,,,
,3.50 46.80 ,,1.02 0.10 ,,,,,,,,,,0.81 -0.40 ,,,,,,,,,
,3.51 48.70 ,,1.02 -0.10 ,,,,,,,,,,0.81 -0.40 ,,,,,,,,,
,3.52 50.50 ,,1.03 0.00 ,,,,,,,,,,0.82 -0.10 ,,,,,,,,,
,3.54 52.70 ,,1.02 -0.20 ,,,,,,,,,,0.82 -0.40 ,,,,,,,,,
,3.56 54.20 ,,1.02 -0.10 ,,,,,,,,,,0.83 -0.30 ,,,,,,,,,
,3.58 57.00 ,,1.02 -0.10 ,,,,,,,,,,0.84 -0.10 ,,,,,,,,,
,3.60 59.80 ,,1.02 -0.40 ,,,,,,,,,,0.85 -0.30 ,,,,,,,,,
,3.61 61.30 ,,1.02 -0.30 ,,,,,,,,,,0.86 -0.20 ,,,,,,,,,
,3.63 64.00 ,,1.02 -0.20 ,,,,,,,,,,0.88 0.00 ,,,,,,,,,
,3.64 65.70 ,,1.02 -0.10 ,,,,,,,,,,0.89 -0.10 ,,,,,,,,,
,3.66 67.70 ,,1.02 0.00 ,,,,,,,,,,0.91 -0.30 ,,,,,,,,,
,3.68 70.70 ,,1.03 -0.10 ,,,,,,,,,,0.92 -0.10 ,,,,,,,,,
,3.69 73.10 ,,1.02 -0.10 ,,,,,,,,,,0.94 -0.10 ,,,,,,,,,
,3.71 75.20 ,,1.03 -0.10 ,,,,,,,,,,0.95 0.00 ,,,,,,,,,
,3.73 77.60 ,,1.02 -0.10 ,,,,,,,,,,0.97 -0.30 ,,,,,,,,,
,3.74 79.70 ,,1.03 -0.40 ,,,,,,,,,,0.98 -0.30 ,,,,,,,,,
,3.76 81.80 ,,1.03 -0.10 ,,,,,,,,,,1.00 -0.10 ,,,,,,,,,
,3.76 82.20 ,,1.02 -0.10 ,,,,,,,,,,1.02 0.10 ,,,,,,,,,
,3.76 82.10 ,,1.03 -0.20 ,,,,,,,,,,1.03 0.20 ,,,,,,,,,
,3.76 82.30 ,,1.02 -0.20 ,,,,,,,,,,1.04 0.30 ,,,,,,,,,
,1.02,-0.20,1.03 -0.10 ,,,,,,,,,,1.06 0.40 ,,,,,,,,,
,1.02,0.00,1.02 0.00 ,,,,,,,,,,1.08 0.50 ,,,,,,,,,
,1.03,0.00,1.02 -0.20 ,,,,,,,,,,1.09 0.80 ,,,,,,,,,
,1.02,0.00,1.02 -0.20 ,,,,,,,,,,1.11 1.30 ,,,,,,,,,
,1.02,-0.20,1.02 -0.30 ,,,,,,,,,,1.12 2.10 ,,,,,,,,,
,1.02,-0.30,1.02 -0.10 ,,,,,,,,,,1.14 3.00 ,,,,,,,,,
,1.02,-0.20,1.02 0.00 ,,,,,,,,,,1.15 3.90 ,,,,,,,,,
,1.02,-0.20,1.02 -0.30 ,,,,,,,,,,1.16 5.00 ,,,,,,,,,
,1.02,0.00,1.02 0.00 ,,,,,,,,,,1.18 7.10 ,,,,,,,,,
,1.03,-0.20,1.03 -0.30 ,,,,,,,,,,1.19 9.30 ,,,,,,,,,
,1.03,-0.40,1.03 -0.10 ,,,,,,,,,,1.20 12.30 ,,,,,,,,,
,1.02,-0.30,1.02 -0.30 ,,,,,,,,,,1.21 15.70 ,,,,,,,,,
,1.02,-0.30,1.02 -0.10 ,,,,,,,,,,1.22 18.90 ,,,,,,,,,
,1.02,-0.10,1.02 -0.10 ,,,,,,,,,,1.23 22.70 ,,,,,,,,,
,1.02,-0.30,1.02 0.00 ,,,,,,,,,,1.25 27.70 ,,,,,,,,,
,1.02,-0.30,1.02 -0.10 ,,,,,,,,,,1.26 33.10 ,,,,,,,,,
,1.02,-0.20,1.02 -0.30 ,,,,,,,,,,1.27 38.20 ,,,,,,,,,
,1.02,-0.40,1.02 -0.30 ,,,,,,,,,,1.28 44.60 ,,,,,,,,,
,1.02,0.00,1.02 -0.20 ,,,,,,,,,,1.29 49.60 ,,,,,,,,,
,1.02,-0.20,1.02 -0.10 ,,,,,,,,,,1.30 54.70 ,,,,,,,,,
,1.02,-0.40,1.02 -0.30 ,,,,,,,,,,1.31 61.40 ,,,,,,,,,
,1.02,0.00,1.03 -0.10 ,,,,,,,,,,1.32 67.70 ,,,,,,,,,
,1.02,-0.40,1.02 -0.10 ,,,,,,,,,,1.33 74.90 ,,,,,,,,,
,1.02,-0.10,1.03 -0.10 ,,,,,,,,,,1.34 81.70 ,,,,,,,,,
,1.02,-0.10,1.02 -0.40 ,,,,,,,,,,1.35 87.50 ,,,,,,,,,
,1.02,0.00,1.03 -0.30 ,,,,,,,,,,1.35 92.30 ,,,,,,,,,
,1.02,-0.40,1.03 -0.10 ,,,,,,,,,,1.36 99.60 ,,,,,,,,,
,1.03,-0.40,1.03 -0.50 ,,,,,,,,,,1.37 106.80 ,,,,,,,,,
,1.02,0.10,1.04 -0.40 ,,,,,,,,,,0.81 -0.20 ,,,,,,,,,
,1.02,-0.20,1.04 -0.30 ,,,,,,,,,,0.81 -0.30 ,,,,,,,,,
,1.02,-0.20,1.06 0.00 ,,,,,,,,,,0.81 -0.40 ,,,,,,,,,
,1.02,-0.20,1.07 -0.10 ,,,,,,,,,,0.81 -0.30 ,,,,,,,,,
,1.02,0.00,1.09 -0.20 ,,,,,,,,,,0.81 -0.40 ,,,,,,,,,
,1.02,0.00,1.11 -0.20 ,,,,,,,,,,0.81 0.10 ,,,,,,,,,
,1.02,-0.20,1.12 -0.20 ,,,,,,,,,,0.81 -0.20 ,,,,,,,,,
,1.02,0.00,1.14 0.00 ,,,,,,,,,,0.81 -0.20 ,,,,,,,,,
,1.02,-0.10,1.16 -0.40 ,,,,,,,,,,0.81 -0.30 ,,,,,,,,,
,1.02,-0.30,1.18 -0.30 ,,,,,,,,,,0.81 -0.30 ,,,,,,,,,
,1.03,-0.20,1.20 -0.10 ,,,,,,,,,,0.81 0.00 ,,,,,,,,,
,1.02,-0.30,1.22 -0.20 ,,,,,,,,,,0.81 -0.50 ,,,,,,,,,
,1.02,-0.10,1.25 -0.10 ,,,,,,,,,,0.81 -0.30 ,,,,,,,,,
,1.02,-0.30,1.27 0.00 ,,,,,,,,,,0.81 -0.10 ,,,,,,,,,
,1.02,-0.40,1.29 -0.10 ,,,,,,,,,,0.81 0.00 ,,,,,,,,,
,1.02,0.10,1.31 -0.10 ,,,,,,,,,,0.81 -0.40 ,,,,,,,,,
